tool,task_id,seed,dataset_name,status,seconds,experiment_dir,progress_exists,progress_records,first_iteration,last_iteration,max_iteration,progress_error
drsr,drsr_s2_g0028,2,,ok,3901.076,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed2/tasks/drsr_s2_g0028/anon-node-02/drsr/g0028_feynman-ii.4.23/experiments/g0028_feynman-ii.4.23_drsr_seed2_20260502-091652,True,7,1,7,7,
drsr,drsr_s2_g0039,2,,ok,3901.045,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed2/tasks/drsr_s2_g0039/anon-node-02/drsr/g0039_CRK0/experiments/g0039_CRK0_drsr_seed2_20260502-092653,True,8,1,8,8,
drsr,drsr_s2_g0046,2,,ok,3902.114,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed2/tasks/drsr_s2_g0046/anon-node-02/drsr/g0046_II.6.15b_3_0/experiments/g0046_II.6.15b_3_0_drsr_seed2_20260502-093238,True,7,1,7,7,
drsr,drsr_s3_g0002,3,,ok,3901.015,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed3/tasks/drsr_s3_g0002/anon-node-02/drsr/g0002_first_principles_hubble/experiments/g0002_first_principles_hubble_drsr_seed3_20260502-093856,True,8,1,8,8,
drsr,drsr_s3_g0006,3,,ok,3900.986,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed3/tasks/drsr_s3_g0006/anon-node-02/drsr/g0006_Keijzer-2/experiments/g0006_Keijzer-2_drsr_seed3_20260502-094441,True,7,1,7,7,
drsr,drsr_s3_g0013,3,,ok,3901.237,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed3/tasks/drsr_s3_g0013/anon-node-02/drsr/g0013_feynman-i.43.31/experiments/g0013_feynman-i.43.31_drsr_seed3_20260502-095142,True,7,1,7,7,
drsr,drsr_s3_g0018,3,,ok,3901.264,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed3/tasks/drsr_s3_g0018/anon-node-02/drsr/g0018_feynman-i.18.16/experiments/g0018_feynman-i.18.16_drsr_seed3_20260502-095519,True,10,1,10,10,
drsr,drsr_s3_g0022,3,,ok,3901.202,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed3/tasks/drsr_s3_g0022/anon-node-02/drsr/g0022_feynman-i.11.19/experiments/g0022_feynman-i.11.19_drsr_seed3_20260502-100101,True,5,1,5,5,
drsr,drsr_s3_g0027,3,,ok,3903.001,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed3/tasks/drsr_s3_g0027/anon-node-02/drsr/g0027_feynman_I_12_11/experiments/g0027_feynman_I_12_11_drsr_seed3_20260502-100444,True,5,1,5,5,
drsr,drsr_s3_g0032,3,,ok,3901.35,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed3/tasks/drsr_s3_g0032/anon-node-02/drsr/g0032_feynman-i.13.12/experiments/g0032_feynman-i.13.12_drsr_seed3_20260502-100812,True,7,1,7,7,
drsr,drsr_s3_g0038,3,,ok,3901.237,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed3/tasks/drsr_s3_g0038/anon-node-02/drsr/g0038_PO19/experiments/g0038_PO19_drsr_seed3_20260502-101350,True,6,1,6,6,
drsr,drsr_s3_g0050,3,,ok,3901.139,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed3/tasks/drsr_s3_g0050/anon-node-02/drsr/g0050_BPG9/experiments/g0050_BPG9_drsr_seed3_20260502-102719,True,8,1,8,8,
drsr,drsr_s4_g0004,4,,ok,3901.122,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed4/tasks/drsr_s4_g0004/anon-node-02/drsr/g0004_Korns-4/experiments/g0004_Korns-4_drsr_seed4_20260502-103216,True,6,1,6,6,
drsr,drsr_s4_g0011,4,,ok,3901.573,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed4/tasks/drsr_s4_g0011/anon-node-02/drsr/g0011_Vladislavleva-4/experiments/g0011_Vladislavleva-4_drsr_seed4_20260502-103627,True,7,1,7,7,
drsr,drsr_s4_g0016,4,,ok,3902.275,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed4/tasks/drsr_s4_g0016/anon-node-02/drsr/g0016_feynman_II_15_4/experiments/g0016_feynman_II_15_4_drsr_seed4_20260502-104154,True,3,1,3,3,
drsr,drsr_s4_g0031,4,,ok,3903.551,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed4/tasks/drsr_s4_g0031/anon-node-02/drsr/g0031_II.11.27_1_0/experiments/g0031_II.11.27_1_0_drsr_seed4_20260502-105632,True,6,1,6,6,
drsr,drsr_s4_g0037,4,,ok,3901.364,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed4/tasks/drsr_s4_g0037/anon-node-02/drsr/g0037_CRK34/experiments/g0037_CRK34_drsr_seed4_20260502-110343,True,9,1,9,9,
drsr,drsr_s4_g0042,4,,ok,3903.02,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed4/tasks/drsr_s4_g0042/anon-node-02/drsr/g0042_feynman_test_15/experiments/g0042_feynman_test_15_drsr_seed4_20260502-110741,True,7,1,7,7,
drsr,drsr_s4_g0045,4,,ok,3901.372,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed4/tasks/drsr_s4_g0045/anon-node-02/drsr/g0045_feynman-bonus.20/experiments/g0045_feynman-bonus.20_drsr_seed4_20260502-111115,True,6,1,6,6,
llmsr,llmsr_s0_g0002,0,,ok,3609.572,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed0/tasks/llmsr_s0_g0002/anon-node-02/llmsr/g0002_first_principles_hubble/experiments/g0002_first_principles_hubble_llmsr_seed0_20260502-070907,True,52,34,85,85,
llmsr,llmsr_s0_g0006,0,,ok,3609.252,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed0/tasks/llmsr_s0_g0006/anon-node-02/llmsr/g0006_Keijzer-2/experiments/g0006_Keijzer-2_llmsr_seed0_20260502-070706,True,70,1,70,70,
llmsr,llmsr_s0_g0020,0,,ok,3609.365,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed0/tasks/llmsr_s0_g0020/anon-node-02/llmsr/g0020_first_principles_leavitt/experiments/g0020_first_principles_leavitt_llmsr_seed0_20260502-073223,True,106,1,106,106,
llmsr,llmsr_s0_g0026,0,,ok,3611.319,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed0/tasks/llmsr_s0_g0026/anon-node-02/llmsr/g0026_strogatz_barmag1/experiments/g0026_strogatz_barmag1_llmsr_seed0_20260502-073736,True,103,1,103,103,
llmsr,llmsr_s0_g0031,0,,ok,3613.862,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed0/tasks/llmsr_s0_g0031/anon-node-02/llmsr/g0031_II.11.27_1_0/experiments/g0031_II.11.27_1_0_llmsr_seed0_20260502-074113,True,81,9,89,89,
llmsr,llmsr_s0_g0036,0,,ok,3609.491,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed0/tasks/llmsr_s0_g0036/anon-node-02/llmsr/g0036_CRK10/experiments/g0036_CRK10_llmsr_seed0_20260502-074434,True,86,1,86,86,
llmsr,llmsr_s0_g0042,0,,ok,3615.525,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed0/tasks/llmsr_s0_g0042/anon-node-02/llmsr/g0042_feynman_test_15/experiments/g0042_feynman_test_15_llmsr_seed0_20260502-075055,True,60,1,60,60,
llmsr,llmsr_s0_g0047,0,,ok,3610.496,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed0/tasks/llmsr_s0_g0047/anon-node-02/llmsr/g0047_BPG5/experiments/g0047_BPG5_llmsr_seed0_20260502-075454,True,77,4,80,80,
llmsr,llmsr_s1_g0002,1,,ok,3610.542,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed1/tasks/llmsr_s1_g0002/anon-node-02/llmsr/g0002_first_principles_hubble/experiments/g0002_first_principles_hubble_llmsr_seed1_20260502-075855,True,63,21,83,83,
llmsr,llmsr_s1_g0013,1,,ok,3610.29,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed1/tasks/llmsr_s1_g0013/anon-node-02/llmsr/g0013_feynman-i.43.31/experiments/g0013_feynman-i.43.31_llmsr_seed1_20260502-081026,True,117,4,120,120,
llmsr,llmsr_s1_g0020,1,,ok,3608.305,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed1/tasks/llmsr_s1_g0020/anon-node-02/llmsr/g0020_first_principles_leavitt/experiments/g0020_first_principles_leavitt_llmsr_seed1_20260502-081617,True,119,2,120,120,
llmsr,llmsr_s1_g0025,1,,ok,3608.081,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed1/tasks/llmsr_s1_g0025/anon-node-02/llmsr/g0025_strogatz_barmag2/experiments/g0025_strogatz_barmag2_llmsr_seed1_20260502-082135,True,109,1,109,109,
llmsr,llmsr_s1_g0039,1,,ok,3607.73,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed1/tasks/llmsr_s1_g0039/anon-node-02/llmsr/g0039_CRK0/experiments/g0039_CRK0_llmsr_seed1_20260502-083456,True,101,1,101,101,
llmsr,llmsr_s1_g0041,1,,ok,3607.787,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed1/tasks/llmsr_s1_g0041/anon-node-02/llmsr/g0041_PO41/experiments/g0041_PO41_llmsr_seed1_20260502-091651,True,87,5,91,91,
llmsr,llmsr_s1_g0046,1,,ok,3609.916,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed1/tasks/llmsr_s1_g0046/anon-node-02/llmsr/g0046_II.6.15b_3_0/experiments/g0046_II.6.15b_3_0_llmsr_seed1_20260502-084138,True,80,7,86,86,
llmsr,llmsr_s1_g0050,1,,ok,3607.297,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed1/tasks/llmsr_s1_g0050/anon-node-02/llmsr/g0050_BPG9/experiments/g0050_BPG9_llmsr_seed1_20260502-084512,True,79,15,93,93,
llmsr,llmsr_s2_g0009,2,,ok,3608.746,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed2/tasks/llmsr_s2_g0009/anon-node-02/llmsr/g0009_Nguyen-6/experiments/g0009_Nguyen-6_llmsr_seed2_20260502-085440,True,93,1,93,93,
llmsr,llmsr_s2_g0018,2,,ok,3611.609,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed2/tasks/llmsr_s2_g0018/anon-node-02/llmsr/g0018_feynman-i.18.16/experiments/g0018_feynman-i.18.16_llmsr_seed2_20260502-092200,True,127,1,127,127,
llmsr,llmsr_s2_g0030,2,,ok,3611.793,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed2/tasks/llmsr_s2_g0030/anon-node-02/llmsr/g0030_feynman-iii.7.38/experiments/g0030_feynman-iii.7.38_llmsr_seed2_20260502-093236,False,0,,,,
llmsr,llmsr_s2_g0036,2,,ok,3613.539,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed2/tasks/llmsr_s2_g0036/anon-node-02/llmsr/g0036_CRK10/experiments/g0036_CRK10_llmsr_seed2_20260502-093854,True,100,1,100,100,
llmsr,llmsr_s2_g0040,2,,ok,3614.005,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed2/tasks/llmsr_s2_g0040/anon-node-02/llmsr/g0040_feynman-i.29.16/experiments/g0040_feynman-i.29.16_llmsr_seed2_20260502-094439,True,94,1,94,94,
llmsr,llmsr_s2_g0047,2,,ok,3611.106,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed2/tasks/llmsr_s2_g0047/anon-node-02/llmsr/g0047_BPG5/experiments/g0047_BPG5_llmsr_seed2_20260502-095140,True,75,8,82,82,
llmsr,llmsr_s3_g0002,3,,ok,3610.775,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed3/tasks/llmsr_s3_g0002/anon-node-02/llmsr/g0002_first_principles_hubble/experiments/g0002_first_principles_hubble_llmsr_seed3_20260502-095517,True,73,15,87,87,
llmsr,llmsr_s3_g0006,3,,ok,3609.193,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed3/tasks/llmsr_s3_g0006/anon-node-02/llmsr/g0006_Keijzer-2/experiments/g0006_Keijzer-2_llmsr_seed3_20260502-100059,True,80,1,80,80,
llmsr,llmsr_s3_g0011,3,,ok,3610.798,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed3/tasks/llmsr_s3_g0011/anon-node-02/llmsr/g0011_Vladislavleva-4/experiments/g0011_Vladislavleva-4_llmsr_seed3_20260502-100443,True,83,1,83,83,
llmsr,llmsr_s3_g0016,3,,ok,3612.429,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed3/tasks/llmsr_s3_g0016/anon-node-02/llmsr/g0016_feynman_II_15_4/experiments/g0016_feynman_II_15_4_llmsr_seed3_20260502-100810,True,98,1,98,98,
llmsr,llmsr_s3_g0022,3,,ok,3610.733,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed3/tasks/llmsr_s3_g0022/anon-node-02/llmsr/g0022_feynman-i.11.19/experiments/g0022_feynman-i.11.19_llmsr_seed3_20260502-101348,True,77,1,77,77,
llmsr,llmsr_s3_g0028,3,,ok,3611.319,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed3/tasks/llmsr_s3_g0028/anon-node-02/llmsr/g0028_feynman-ii.4.23/experiments/g0028_feynman-ii.4.23_llmsr_seed3_20260502-102022,True,105,1,105,105,
llmsr,llmsr_s3_g0034,3,,ok,3610.612,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed3/tasks/llmsr_s3_g0034/anon-node-02/llmsr/g0034_CRK11/experiments/g0034_CRK11_llmsr_seed3_20260502-102716,True,93,1,93,93,
llmsr,llmsr_s3_g0045,3,,ok,3610.842,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed3/tasks/llmsr_s3_g0045/anon-node-02/llmsr/g0045_feynman-bonus.20/experiments/g0045_feynman-bonus.20_llmsr_seed3_20260502-103625,True,95,3,97,97,
llmsr,llmsr_s3_g0050,3,,ok,3609.631,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed3/tasks/llmsr_s3_g0050/anon-node-02/llmsr/g0050_BPG9/experiments/g0050_BPG9_llmsr_seed3_20260502-104152,True,85,7,91,91,
llmsr,llmsr_s4_g0008,4,,ok,3608.371,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed4/tasks/llmsr_s4_g0008/anon-node-02/llmsr/g0008_Nguyen-12/experiments/g0008_Nguyen-12_llmsr_seed4_20260502-104918,True,95,1,95,95,
llmsr,llmsr_s4_g0015,4,,ok,3609.918,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed4/tasks/llmsr_s4_g0015/anon-node-02/llmsr/g0015_III.21.20_3_0/experiments/g0015_III.21.20_3_0_llmsr_seed4_20260502-105630,True,73,1,73,73,
llmsr,llmsr_s4_g0021,4,,ok,3607.098,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed4/tasks/llmsr_s4_g0021/anon-node-02/llmsr/g0021_feynman-i.39.22/experiments/g0021_feynman-i.39.22_llmsr_seed4_20260502-110341,True,116,12,127,127,
llmsr,llmsr_s4_g0026,4,,ok,3607.501,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed4/tasks/llmsr_s4_g0026/anon-node-02/llmsr/g0026_strogatz_barmag1/experiments/g0026_strogatz_barmag1_llmsr_seed4_20260502-110739,True,114,1,114,114,
llmsr,llmsr_s4_g0029,4,,ok,3606.545,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed4/tasks/llmsr_s4_g0029/anon-node-02/llmsr/g0029_strogatz_vdp1/experiments/g0029_strogatz_vdp1_llmsr_seed4_20260502-111114,True,93,1,93,93,
llmsr,llmsr_s4_g0041,4,,ok,3606.409,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed4/tasks/llmsr_s4_g0041/anon-node-02/llmsr/g0041_PO41/experiments/g0041_PO41_llmsr_seed4_20260502-111529,True,86,6,91,91,
llmsr,llmsr_s4_g0042,4,,ok,3609.488,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed4/tasks/llmsr_s4_g0042/anon-node-02/llmsr/g0042_feynman_test_15/experiments/g0042_feynman_test_15_llmsr_seed4_20260502-111533,True,73,1,73,73,
llmsr,llmsr_s4_g0043,4,,ok,3606.892,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/llmsr/seed4/tasks/llmsr_s4_g0043/anon-node-02/llmsr/g0043_CRK33/experiments/g0043_CRK33_llmsr_seed4_20260502-111536,True,102,1,102,102,
drsr,drsr_s0_g0002,0,,ok,3900.717,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed0/tasks/drsr_s0_g0002/anon-node-03/drsr/g0002_first_principles_hubble/experiments/g0002_first_principles_hubble_drsr_seed0_20260502-065912,True,3,1,3,3,
drsr,drsr_s0_g0010,0,,ok,3900.723,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed0/tasks/drsr_s0_g0010/anon-node-03/drsr/g0010_Nguyen-9/experiments/g0010_Nguyen-9_drsr_seed0_20260502-070301,True,5,1,5,5,
drsr,drsr_s0_g0016,0,,ok,3901.853,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed0/tasks/drsr_s0_g0016/anon-node-03/drsr/g0016_feynman_II_15_4/experiments/g0016_feynman_II_15_4_drsr_seed0_20260502-070622,True,6,1,6,6,
drsr,drsr_s0_g0023,0,,ok,3619.89,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed0/tasks/drsr_s0_g0023/anon-node-03/drsr/g0023_I.11.19_4_0/experiments/g0023_I.11.19_4_0_drsr_seed0_20260502-070955,True,69,1,69,69,
drsr,drsr_s0_g0029,0,,ok,3900.889,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed0/tasks/drsr_s0_g0029/anon-node-03/drsr/g0029_strogatz_vdp1/experiments/g0029_strogatz_vdp1_drsr_seed0_20260502-071345,True,4,1,4,4,
drsr,drsr_s0_g0037,0,,ok,3901.034,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed0/tasks/drsr_s0_g0037/anon-node-03/drsr/g0037_CRK34/experiments/g0037_CRK34_drsr_seed0_20260502-073311,True,7,1,7,7,
