method,global_index,dataset_name,result_relpath,action,reason,rerun_result_path,rerun_dataset_dir,status,seconds
pysr,9,feynman-ii.15.4,results/W3/pysr/anon-node-01/g0009_feynman-ii.15.4/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-03/pysr/pysr/g0009_feynman-ii.15.4/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4,timed_out,3602.08
pysr,22,feynman-ii.11.20,results/W3/pysr/anon-node-01/g0022_feynman-ii.11.20/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-03/pysr/pysr/g0022_feynman-ii.11.20/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20,timed_out,3601.98
pysr,25,feynman-bonus.4,results/W3/pysr/anon-node-01/g0025_feynman-bonus.4/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-03/pysr/pysr/g0025_feynman-bonus.4/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4,timed_out,3601.99
pysr,32,feynman-i.41.16,results/W3/pysr/anon-node-01/g0032_feynman-i.41.16/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-03/pysr/pysr/g0032_feynman-i.41.16/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.41.16,timed_out,3601.944
pysr,33,feynman-iii.4.33,results/W3/pysr/anon-node-01/g0033_feynman-iii.4.33/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-03/pysr/pysr/g0033_feynman-iii.4.33/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33,timed_out,3601.768
pysr,42,feynman-bonus.5,results/W3/pysr/anon-node-01/g0042_feynman-bonus.5/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-03/pysr/pysr/g0042_feynman-bonus.5/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5,timed_out,3601.8
dso,3,feynman-ii.11.20,results/W4/dso/anon-node-01/g0003_feynman-ii.11.20/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-07/dso/dso/g0003_feynman-ii.11.20/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20,timed_out,3602.148
dso,26,feynman-bonus.4,results/W4/dso/anon-node-01/g0026_feynman-bonus.4/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-07/dso/dso/g0026_feynman-bonus.4/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.4,timed_out,3602.199
tpsr,5,feynman-ii.11.27,results/W5/tpsr/anon-node-01/g0005_feynman-ii.11.27/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-04/tpsr/tpsr/g0005_feynman-ii.11.27/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.27,timed_out,3610.705
tpsr,9,feynman-ii.15.4,results/W5/tpsr/anon-node-01/g0009_feynman-ii.15.4/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-04/tpsr/tpsr/g0009_feynman-ii.15.4/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4,timed_out,3604.503
tpsr,15,feynman-i.41.16,results/W5/tpsr/anon-node-01/g0015_feynman-i.41.16/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-04/tpsr/tpsr/g0015_feynman-i.41.16/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16,timed_out,3609.748
tpsr,22,feynman-ii.11.20,results/W5/tpsr/anon-node-01/g0022_feynman-ii.11.20/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-04/tpsr/tpsr/g0022_feynman-ii.11.20/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20,timed_out,3607.15
tpsr,25,feynman-bonus.4,results/W5/tpsr/anon-node-01/g0025_feynman-bonus.4/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-04/tpsr/tpsr/g0025_feynman-bonus.4/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4,timed_out,3607.292
tpsr,33,feynman-iii.4.33,results/W5/tpsr/anon-node-01/g0033_feynman-iii.4.33/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-04/tpsr/tpsr/g0033_feynman-iii.4.33/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33,ok,1804.032
tpsr,39,feynman-ii.11.3,results/W5/tpsr/anon-node-01/g0039_feynman-ii.11.3/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-04/tpsr/tpsr/g0039_feynman-ii.11.3/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.11.3,timed_out,3606.813
tpsr,42,feynman-bonus.5,results/W5/tpsr/anon-node-01/g0042_feynman-bonus.5/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-04/tpsr/tpsr/g0042_feynman-bonus.5/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5,timed_out,3609.847
gplearn,73,feynman-i.43.31,results/W1/gplearn/anon-node-02/g0073_feynman-i.43.31/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-01/gplearn/gplearn/g0073_feynman-i.43.31/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.43.31,timed_out,3602.71
pyoperon,72,feynman-i.43.31,results/W2/pyoperon/anon-node-02/g0072_feynman-i.43.31/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-02/pyoperon/pyoperon/g0072_feynman-i.43.31/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31,ok,8.205
pyoperon,78,III.21.20_2_0,results/W2/pyoperon/anon-node-02/g0078_III.21.20_2_0/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-02/pyoperon/pyoperon/g0078_III.21.20_2_0/result.json,/home/anonymous/sim-datasets-data/llm-srbench/lsrtransform/III.21.20_2_0,ok,8.767
pysr,73,feynman-i.43.31,results/W3/pysr/anon-node-02/g0073_feynman-i.43.31/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-03/pysr/pysr/g0073_feynman-i.43.31/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.43.31,timed_out,3601.813
dso,33,feynman-iii.4.33,results/W4/dso/anon-node-02/g0033_feynman-iii.4.33/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-07/dso/dso/g0033_feynman-iii.4.33/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33,timed_out,3601.975
dso,34,feynman-iii.4.33,results/W4/dso/anon-node-02/g0034_feynman-iii.4.33/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-07/dso/dso/g0034_feynman-iii.4.33/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-iii.4.33,timed_out,3602.08
dso,54,feynman_II_2_42,results/W4/dso/anon-node-02/g0054_feynman_II_2_42/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-07/dso/dso/g0054_feynman_II_2_42/result.json,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_2_42,timed_out,3603.561
tpsr,72,feynman-i.43.31,results/W5/tpsr/anon-node-02/g0072_feynman-i.43.31/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-04/tpsr/tpsr/g0072_feynman-i.43.31/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31,timed_out,3609.921
pysr,130,Keijzer-10,results/W3/pysr/anon-node-03/g0130_Keijzer-10/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-03/pysr/pysr/g0130_Keijzer-10/result.json,/home/anonymous/sim-datasets-data/keijzer/Keijzer-10,timed_out,3601.64
pysr,143,MatSci8,results/W3/pysr/anon-node-03/g0143_MatSci8/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-03/pysr/pysr/g0143_MatSci8/result.json,/home/anonymous/sim-datasets-data/llm-srbench/matsci/MatSci8,timed_out,3601.683
dso,72,feynman-i.43.31,results/W4/dso/anon-node-03/g0072_feynman-i.43.31/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-07/dso/dso/g0072_feynman-i.43.31/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31,timed_out,3602.091
dso,73,feynman-i.43.31,results/W4/dso/anon-node-03/g0073_feynman-i.43.31/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-07/dso/dso/g0073_feynman-i.43.31/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.43.31,timed_out,3602.083
gplearn,173,feynman-ii.35.18,results/W1/gplearn/anon-node-04/g0173_feynman-ii.35.18/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-01/gplearn/gplearn/g0173_feynman-ii.35.18/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.35.18,timed_out,3603.117
pyoperon,174,feynman-ii.35.18,results/W2/pyoperon/anon-node-04/g0174_feynman-ii.35.18/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-02/pyoperon/pyoperon/g0174_feynman-ii.35.18/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.35.18,ok,8.207
pyoperon,184,III.15.14_1_0,results/W2/pyoperon/anon-node-04/g0184_III.15.14_1_0/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-02/pyoperon/pyoperon/g0184_III.15.14_1_0/result.json,/home/anonymous/sim-datasets-data/llm-srbench/lsrtransform/III.15.14_1_0,ok,8.604
pyoperon,193,II.21.32_3_0,results/W2/pyoperon/anon-node-04/g0193_II.21.32_3_0/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-02/pyoperon/pyoperon/g0193_II.21.32_3_0/result.json,/home/anonymous/sim-datasets-data/llm-srbench/lsrtransform/II.21.32_3_0,ok,9.187
pyoperon,194,II.21.32_2_0,results/W2/pyoperon/anon-node-04/g0194_II.21.32_2_0/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-02/pyoperon/pyoperon/g0194_II.21.32_2_0/result.json,/home/anonymous/sim-datasets-data/llm-srbench/lsrtransform/II.21.32_2_0,ok,9.396
pysr,157,PO26,results/W3/pysr/anon-node-04/g0157_PO26/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-03/pysr/pysr/g0157_PO26/result.json,/home/anonymous/sim-datasets-data/llm-srbench/phys_osc/PO26,timed_out,3601.801
pysr,174,feynman-ii.35.18,results/W3/pysr/anon-node-04/g0174_feynman-ii.35.18/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-03/pysr/pysr/g0174_feynman-ii.35.18/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.35.18,timed_out,3601.982
dso,92,strogatz_glider2,results/W4/dso/anon-node-04/g0092_strogatz_glider2/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-07/dso/dso/g0092_strogatz_glider2/result.json,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_glider2,ok,2151.328
tpsr,158,PO0,results/W5/tpsr/anon-node-04/g0158_PO0/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-04/tpsr/tpsr/g0158_PO0/result.json,/home/anonymous/sim-datasets-data/llm-srbench/phys_osc/PO0,timed_out,3609.881
tpsr,173,feynman-ii.35.18,results/W5/tpsr/anon-node-04/g0173_feynman-ii.35.18/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-04/tpsr/tpsr/g0173_feynman-ii.35.18/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.35.18,ok,2494.0
tpsr,174,feynman-ii.35.18,results/W5/tpsr/anon-node-04/g0174_feynman-ii.35.18/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-04/tpsr/tpsr/g0174_feynman-ii.35.18/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.35.18,timed_out,3607.661
tpsr,175,feynman-bonus.2,results/W5/tpsr/anon-node-04/g0175_feynman-bonus.2/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-04/tpsr/tpsr/g0175_feynman-bonus.2/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.2,timed_out,3610.496
llmsr,3,feynman-ii.11.20,results/W1/llmsr/anon-node-05/g0003_feynman-ii.11.20/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-05/llmsr/llmsr/g0003_feynman-ii.11.20/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20,ok,3606.3
llmsr,6,feynman-ii.11.27,results/W1/llmsr/anon-node-05/g0006_feynman-ii.11.27/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-05/llmsr/llmsr/g0006_feynman-ii.11.27/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.27,ok,3606.525
llmsr,9,feynman-ii.15.4,results/W1/llmsr/anon-node-05/g0009_feynman-ii.15.4/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-05/llmsr/llmsr/g0009_feynman-ii.15.4/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4,ok,3606.347
llmsr,15,feynman-i.41.16,results/W1/llmsr/anon-node-05/g0015_feynman-i.41.16/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-05/llmsr/llmsr/g0015_feynman-i.41.16/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16,ok,3606.451
llmsr,25,feynman-bonus.4,results/W1/llmsr/anon-node-05/g0025_feynman-bonus.4/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-05/llmsr/llmsr/g0025_feynman-bonus.4/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4,ok,3606.475
llmsr,33,feynman-iii.4.33,results/W1/llmsr/anon-node-05/g0033_feynman-iii.4.33/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-05/llmsr/llmsr/g0033_feynman-iii.4.33/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33,ok,3606.435
llmsr,44,feynman-bonus.5,results/W1/llmsr/anon-node-05/g0044_feynman-bonus.5/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-05/llmsr/llmsr/g0044_feynman-bonus.5/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.5,ok,3606.435
dso,130,Keijzer-10,results/W4/dso/anon-node-05/g0130_Keijzer-10/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-07/dso/dso/g0130_Keijzer-10/result.json,/home/anonymous/sim-datasets-data/keijzer/Keijzer-10,timed_out,3601.874
dso,136,I.24.6_3_1,results/W4/dso/anon-node-05/g0136_I.24.6_3_1/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-07/dso/dso/g0136_I.24.6_3_1/result.json,/home/anonymous/sim-datasets-data/llm-srbench/lsrtransform/I.24.6_3_1,timed_out,3603.669
