algorithm,gid,dataset,seed,status,valid_output,metric_complete,valid_for_symbolic,expr_source,result_path,pred_expression_raw,pred_expression_cleaned,gt_expression_x,pred_parse_ok,gt_parse_ok,cas_equivalence_enabled,cas_equiv,numeric_equiv,numeric_equiv_reason,equiv_final,probe_nmse,probe_max_abs_error,probe_max_rel_error,probe_points,finite_probe_points,finite_probe_rate,tree_edit_distance,true_tree_size,ned,tree_similarity,pred_variables,gt_variables,var_f1,pred_operators,gt_operators,op_f1,sof1,sym_f_formal,failure_reason
drsr,g0011,Vladislavleva-4,0,ok,True,True,True,result_json.canonical_artifact.instantiated_expression,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/05.Core50噪声鲁棒性评测/results/remote_artifacts_clean_modelsplit_slim_20260504-224415/clean/core50_llmsr_drsr_modelsplit_rerun_20260503/anon-node-03/turbo/drsr/seed0/anon-node-03/drsr/g0011_Vladislavleva-4/result.json,0.22326170125009862 + 0.007516432575499694*x0 + -0.006073982679591926*x1 + 0.182878049642352*x2 + 0.09859973464509632*x3 + -0.0007724518540715817*x4 + 0.025898504512278164*sin(x0) + -0.11125462442552006*cos(x1) + -0.03011605200029833*x2**2 + -0.0030357749556271943*x3**3,0.22326170125009862 + 0.007516432575499694*x0 + -0.006073982679591926*x0 + 0.182878049642352*x1 + 0.09859973464509632*x2 + -0.0007724518540715817*x3 + 0.025898504512278164*sin(x0) + -0.11125462442552006*cos(x0) + -0.03011605200029833*x1**2 + -0.0030357749556271943*x2**3,"div(10, 5 + (pow(x0 - 3, 2) + pow(x1 - 3, 2) + pow(x2 - 3, 2) + pow(x3 - 3, 2) + pow(x4 - 3, 2)))",True,True,False,False,False,not_equivalent,False,0.5599423893228084,1.030492697113023,0.554959583639388,4096.0,4096.0,1.0,56.0,31.0,1.0,0.0,"[""x0"", ""x1"", ""x2"", ""x3""]","[""x0"", ""x1"", ""x2"", ""x3"", ""x4""]",0.888888888888889,"[""add"", ""cos"", ""mul"", ""pow"", ""sin""]","[""add"", ""mul"", ""pow""]",0.7499999999999999,0.8194444444444444,0.1638888888888889,
drsr,g0012,feynman_I_27_6,0,ok,True,True,True,result_json.canonical_artifact.instantiated_expression,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/05.Core50噪声鲁棒性评测/results/remote_artifacts_clean_modelsplit_slim_20260504-224415/clean/core50_llmsr_drsr_modelsplit_rerun_20260503/anon-node-02/base/drsr/seed0/anon-node-02/drsr/g0012_feynman_I_27_6/result.json,1/(-0.5263628320139059 + 0.9902830200666469/x0 + 1.9385224947705626/x1 - -0.27730946684777735*x2),1/(-0.5263628320139059 + 0.9902830200666469/x0 + 1.9385224947705626/x1 - -0.27730946684777735*x2),1 / (1 / x0 + x2 / x1),True,True,True,False,False,not_equivalent,False,0.05456693410014654,0.7770193481425078,0.29488397504722774,4096.0,4096.0,1.0,11.0,11.0,1.0,0.0,"[""x0"", ""x1"", ""x2""]","[""x0"", ""x1"", ""x2""]",1.0,"[""add"", ""mul"", ""pow""]","[""add"", ""mul"", ""pow""]",1.0,1.0,0.2,
drsr,g0013,feynman-i.43.31,0,ok,True,True,True,result_json.canonical_artifact.instantiated_expression,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/05.Core50噪声鲁棒性评测/results/remote_artifacts_clean_modelsplit_slim_20260504-224415/clean/core50_llmsr_drsr_modelsplit_rerun_20260503/anon-node-03/turbo/drsr/seed0/anon-node-03/drsr/g0013_feynman-i.43.31/result.json,-1.5533722654525882e-05 + 4.822018433922413e-07*log(x0) + 2.8748184529106014e-09*x1,-1.5533722654525882e-05 + 4.822018433922413e-07*log(x0) + 2.8748184529106014e-09*x1,1.380649e-23 * x0 * x1,True,True,True,False,False,not_equivalent,False,1.0381680897996821,1.6476527490190212e-05,1.6476527490190212e-05,4096.0,4096.0,1.0,8.0,4.0,1.0,0.0,"[""x0"", ""x1""]","[""x0"", ""x1""]",1.0,"[""add"", ""log"", ""mul""]","[""mul""]",0.5,0.75,0.15000000000000002,
drsr,g0014,feynman-ii.34.11,0,ok,True,True,True,result_json.canonical_artifact.instantiated_expression,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/05.Core50噪声鲁棒性评测/results/remote_artifacts_clean_modelsplit_slim_20260504-224415/clean/core50_llmsr_drsr_modelsplit_rerun_20260503/anon-node-02/base/drsr/seed0/anon-node-02/drsr/g0014_feynman-ii.34.11/result.json,5.527029080888897e-13*x0*x4/(2.53657480514243*x2*x3),5.527029080888897e-13*x0*x4/(2.53657480514243*x2*x3),x0 * x2 * x4 / (2 * x5),True,True,True,False,False,extra_pred_variables:x3,False,,,,,,,5.0,8.0,0.625,0.375,"[""x0"", ""x2"", ""x3"", ""x4""]","[""x0"", ""x2"", ""x4"", ""x5""]",0.75,"[""mul"", ""pow""]","[""mul"", ""pow""]",1.0,0.875,0.2875,numeric:extra_pred_variables:x3
drsr,g0015,III.21.20_3_0,0,ok,True,True,True,result_json.canonical_artifact.instantiated_expression,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/05.Core50噪声鲁棒性评测/results/remote_artifacts_clean_modelsplit_slim_20260504-224415/clean/core50_llmsr_drsr_modelsplit_rerun_20260503/anon-node-03/turbo/drsr/seed0/anon-node-03/drsr/g0015_III.21.20_3_0/result.json,-2.0151203743289057 + 1.6864111507880897*x1*x2/x0**2 + 0.1115647162221912*x0 + 0.41809336293723387*x2 + 1.619576530707086*x3 + 0.40271814017520613*x1 + -0.009405141817066595*x3**2 + 0.001551639080802745*x0**2 + 0.002614458457081973*x1**2 + 0.023306682009291493*x0*x3,-2.0151203743289057 + 1.6864111507880897*x1*x2/x0**2 + 0.1115647162221912*x0 + 0.41809336293723387*x2 + 1.619576530707086*x3 + 0.40271814017520613*x1 + -0.009405141817066595*x3**2 + 0.001551639080802745*x0**2 + 0.002614458457081973*x1**2 + 0.023306682009291493*x0*x3,-x3 * x2 * x1 / x0,True,True,True,False,False,not_equivalent,False,466.34009527284485,66539.41954226377,21.852659212577603,4096.0,4096.0,1.0,38.0,8.0,1.0,0.0,"[""x0"", ""x1"", ""x2"", ""x3""]","[""x0"", ""x1"", ""x2"", ""x3""]",1.0,"[""add"", ""mul"", ""pow""]","[""mul"", ""pow""]",0.8,0.9,0.18000000000000002,
drsr,g0016,feynman_II_15_4,0,ok,True,True,True,result_json.canonical_artifact.instantiated_expression,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/05.Core50噪声鲁棒性评测/results/remote_artifacts_clean_modelsplit_slim_20260504-224415/clean/core50_llmsr_drsr_modelsplit_rerun_20260503/anon-node-02/base/drsr/seed0/anon-node-02/drsr/g0016_feynman_II_15_4/result.json,-x0*x1*cos(x2),-x0*x1*cos(x2),-x0 * x1 * cos(x2),True,True,True,True,True,nmse+max_rel+max_abs,True,0.0,0.0,0.0,4096.0,4096.0,1.0,0.0,6.0,0.0,1.0,"[""x0"", ""x1"", ""x2""]","[""x0"", ""x1"", ""x2""]",1.0,"[""cos"", ""mul""]","[""cos"", ""mul""]",1.0,1.0,1.0,
drsr,g0017,strogatz_shearflow1,0,ok,True,True,True,result_json.canonical_artifact.instantiated_expression,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/05.Core50噪声鲁棒性评测/results/remote_artifacts_clean_modelsplit_slim_20260504-224415/clean/core50_llmsr_drsr_modelsplit_rerun_20260503/anon-node-03/turbo/drsr/seed0/anon-node-03/drsr/g0017_strogatz_shearflow1/result.json,-6.51823231326012 + -0.14012300456170115*sin(x0) + 7.992882748168251*cos(x1) + -0.0038005352863681213*x0**2 + 2.5354596757518846*x1**2 + -0.04336891496296874*x0*x1 + -0.24392926041719581*sin(x0)*cos(x1) + 0.06339689085204579*sin(x1)*cos(x0) + 0.33806146989048114*sin(x0)**2 + -3.545415754754231*cos(x1)**2,-6.51823231326012 + -0.14012300456170115*sin(x0) + 7.992882748168251*cos(x1) + -0.0038005352863681213*x0**2 + 2.5354596757518846*x1**2 + -0.04336891496296874*x0*x1 + -0.24392926041719581*sin(x0)*cos(x1) + 0.06339689085204579*sin(x1)*cos(x0) + 0.33806146989048114*sin(x0)**2 + -3.545415754754231*cos(x1)**2,1 / tan(x1) * cos(x0),True,True,True,False,False,not_equivalent,False,0.9995500752853741,3750.0881727913556,0.9994194737720263,4096.0,4096.0,1.0,47.0,7.0,1.0,0.0,"[""x0"", ""x1""]","[""x0"", ""x1""]",1.0,"[""add"", ""cos"", ""mul"", ""pow"", ""sin""]","[""cos"", ""mul"", ""pow"", ""tan""]",0.6666666666666665,0.8333333333333333,0.16666666666666666,
drsr,g0018,feynman-i.18.16,0,ok,True,True,True,result_json.canonical_artifact.instantiated_expression,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/05.Core50噪声鲁棒性评测/results/remote_artifacts_clean_modelsplit_slim_20260504-224415/clean/core50_llmsr_drsr_modelsplit_rerun_20260503/anon-node-02/base/drsr/seed0/anon-node-02/drsr/g0018_feynman-i.18.16/result.json,-0.16937872194383224*x0*x3*x4,-0.16937872194383224*x0*x3*x4,x0 * x1 * x3 * sin(x4),True,True,True,False,False,not_equivalent,False,0.963835084706071,1639.553389207781,0.9279881178149323,4096.0,4096.0,1.0,4.0,6.0,0.6666666666666666,0.33333333333333337,"[""x0"", ""x3"", ""x4""]","[""x0"", ""x1"", ""x3"", ""x4""]",0.8571428571428571,"[""mul""]","[""mul"", ""sin""]",0.6666666666666666,0.7619047619047619,0.2523809523809524,
drsr,g0019,feynman-ii.34.2a,0,ok,True,True,True,result_json.canonical_artifact.instantiated_expression,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/05.Core50噪声鲁棒性评测/results/remote_artifacts_clean_modelsplit_slim_20260504-224415/clean/core50_llmsr_drsr_modelsplit_rerun_20260503/anon-node-03/turbo/drsr/seed0/anon-node-03/drsr/g0019_feynman-ii.34.2a/result.json,-0.6005717615084374 + 0.902957994362044*x1 + -0.00012537942293291222*x2/(-42841313.95640405*x0 + 1.0e-6),-0.6005717615084374 + 0.902957994362044*x1 + -0.00012537942293291222*x2/(-42841313.95640405*x0 + 1.0e-6),x1 * x3 / (2 * pi * x4),True,True,True,False,False,"extra_pred_variables:x0,x2",False,,,,,,,16.0,10.0,1.0,0.0,"[""x0"", ""x1"", ""x2""]","[""x1"", ""x3"", ""x4""]",0.3333333333333333,"[""add"", ""mul"", ""pow""]","[""mul"", ""pi"", ""pow""]",0.6666666666666666,0.5,0.1,"numeric:extra_pred_variables:x0,x2"
drsr,g0020,first_principles_leavitt,0,ok,True,True,True,result_json.canonical_artifact.instantiated_expression,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/05.Core50噪声鲁棒性评测/results/remote_artifacts_clean_modelsplit_slim_20260504-224415/clean/core50_llmsr_drsr_modelsplit_rerun_20260503/anon-node-02/base/drsr/seed0/anon-node-02/drsr/g0020_first_principles_leavitt/result.json,14.756062987266183 + 0.3234612491779203*x0 + -0.8322733806182044*x0**2 + -0.5454409861940354*x0**3 + -1.081015814077954*x0**4 + 0.9879460889896295*x0**5 + 0.4686157880404975*x0**6 + -0.27768916890589235*x0**7 + -0.25527036644763945*x0**8 + 0.1200815673303154*x0**9,14.756062987266183 + 0.3234612491779203*x0 + -0.8322733806182044*x0**2 + -0.5454409861940354*x0**3 + -1.081015814077954*x0**4 + 0.9879460889896295*x0**5 + 0.4686157880404975*x0**6 + -0.27768916890589235*x0**7 + -0.25527036644763945*x0**8 + 0.1200815673303154*x0**9,-2.084 * x0 + 15.65,True,True,True,False,False,not_equivalent,False,0.24602194860887433,3.954205073500219,0.2562790370886787,4096.0,4096.0,1.0,40.0,5.0,1.0,0.0,"[""x0""]","[""x0""]",1.0,"[""add"", ""mul"", ""pow""]","[""add"", ""mul""]",0.8,0.9,0.18000000000000002,
drsr,g0021,feynman-i.39.22,0,ok,True,True,True,result_json.canonical_artifact.instantiated_expression,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/05.Core50噪声鲁棒性评测/results/remote_artifacts_clean_modelsplit_slim_20260504-224415/clean/core50_llmsr_drsr_modelsplit_rerun_20260503/anon-node-03/turbo/drsr/seed0/anon-node-03/drsr/g0021_feynman-i.39.22/result.json,-0.49705857891037186 + 2.0667880273508645e-11*x0 + 0.9942528501500394*x2 + 34.21141360534496*x3/x4,-0.49705857891037186 + 2.0667880273508645e-11*x0 + 0.9942528501500394*x2 + 34.21141360534496*x3/x4,1.380649e-23 * x1 * x3 / x4,True,True,True,False,False,"extra_pred_variables:x0,x2",False,,,,,,,13.0,7.0,1.0,0.0,"[""x0"", ""x2"", ""x3"", ""x4""]","[""x1"", ""x3"", ""x4""]",0.5714285714285715,"[""add"", ""mul"", ""pow""]","[""mul"", ""pow""]",0.8,0.6857142857142857,0.13714285714285715,"numeric:extra_pred_variables:x0,x2"
drsr,g0022,feynman-i.11.19,0,ok,True,True,True,result_json.canonical_artifact.instantiated_expression,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/05.Core50噪声鲁棒性评测/results/remote_artifacts_clean_modelsplit_slim_20260504-224415/clean/core50_llmsr_drsr_modelsplit_rerun_20260503/anon-node-02/base/drsr/seed0/anon-node-02/drsr/g0022_feynman-i.11.19/result.json,0.07035547067030061*x0 + -0.007885613450840092*x1 + -0.032817489586300055*x2 + -0.11075605788711403*x3 + -1.244632616925874e-12*x4 + 0.04537631293021986*x5 + -0.08931414359332936*x6 + 0.08292244049818343*x7,0.07035547067030061*x0 + -0.007885613450840092*x1 + -0.032817489586300055*x2 + -0.11075605788711403*x3 + -1.244632616925874e-12*x4 + 0.04537631293021986*x5 + -0.08931414359332936*x6 + 0.08292244049818343*x7,x0 * x1 + x2 * x3 + x5 * x6,True,True,True,False,False,"extra_pred_variables:x4,x7",False,,,,,,,18.0,10.0,1.0,0.0,"[""x0"", ""x1"", ""x2"", ""x3"", ""x4"", ""x5"", ""x6"", ""x7""]","[""x0"", ""x1"", ""x2"", ""x3"", ""x5"", ""x6""]",0.8571428571428571,"[""add"", ""mul""]","[""add"", ""mul""]",1.0,0.9285714285714286,0.18571428571428572,"numeric:extra_pred_variables:x4,x7"
