sample_id,logical_id,condition,algorithm,dataset_id,seed,opus_outcome,original_equals_effective,failure_class,equivalence,domain_preserved,variable_mapping_preserved,operator_semantics_preserved,simplicity,confidence,brief_reason,counterexample,native_evidence_attached,task_record
review_000711,pred_simplify::gplearn::g0011::s521::clean,clean,gplearn,CRK33,521,simplified,false,protected_operator_semantics,fail,true,true,false,simpler,1.0,"Protected log prevents log(A**2)=2*log(A) near the threshold. For 0.001<|A|<=sqrt(0.001), log(A**2) returns 0 while log(A) is nonzero, so the inner terms differ.","A=0.01: original inner log(A**2)=log(0.0001)=0, giving original value -log(0.01)=4.605170186; proposed uses 2*log(0.01)=-9.210340372 and adds sin(sin(sqrt(9.210340372)))≈0.1063, so the values differ.",true,per_model/gpt-5.6-sol/tasks/review_000711.json
review_000714,pred_simplify::gplearn::g0014::s521::clean,clean,gplearn,II.11.27_1_0,521,simplified,false,protected_operator_semantics,fail,false,true,false,simpler,1.0,"The proposed algebra does not preserve the authoritative protected-division semantics. At Pol=n=epsilon=Ef=1, an inner zero denominator in the native program triggers protected div(a,0)=1, producing a different value from the proposed expression. The proposed fractional powers also restrict the otherwise total native protected domain.","Pol=1, n=1, epsilon=1, Ef=1: authoritative native original = 1/0.358 ≈ 2.793296089385475, while proposed = 1/1.358 ≈ 0.736377025036819.",true,per_model/gpt-5.6-sol/tasks/review_000714.json
review_000717,pred_simplify::gplearn::g0017::s521::clean,clean,gplearn,III.21.20_3_0,521,unchanged,false,protected_operator_semantics,fail,false,true,false,simpler,1.0,"The native expression contains two protected sqrt(div(rho_c_0,j)) factors. Their product is abs(protected_div(rho_c_0,j)), not ordinary rho_c_0/j in general. The proposal also becomes undefined at j=0, whereas protected division remains defined.","Let j=1, rho_c_0=-1, q=1, and A_vec=1. Native protected evaluation gives sqrt(abs(-1))^2=1, while A_vec*q*rho_c_0/j=-1.",true,per_model/gpt-5.6-sol/tasks/review_000717.json
review_000727,pred_simplify::gplearn::g0027::s521::clean,clean,gplearn,feynman_test_15,521,simplified,false,protected_operator_semantics,fail,true,true,false,simpler,1.0,"The algebraic rearrangement is valid for ordinary division away from singularities, but it does not preserve gplearn's protected-division values. Reassociating and combining the nested divisions changes the result when protected thresholds are triggered.","At c=0, v=1, omega=1, theta=0, using div(a,b)=1 when |b|<=0.001, the authoritative native expression evaluates to -2, while the proposed expression evaluates to 1.",true,per_model/gpt-5.6-sol/tasks/review_000727.json
review_000730,pred_simplify::gplearn::g0030::s521::clean,clean,gplearn,strogatz_predprey2,521,simplified,false,protected_operator_semantics,fail,true,true,false,simpler,0.999,"The factoring 0.425*x-0.425*y to 0.425*(x-y) is valid, but log(sqrt(A)) is not equivalent to log(A)/2 under gplearn's protected operators. The original protected log activates when |A|>1e-6 after protected sqrt, whereas the proposed protected log activates only when |A|>0.001, producing different values in between.","At x=0, y=8600, A=x*(x+cos(log(y)))+div(0.86,y)=0.0001. Original: log(sqrt(A))=log(0.01)=log(0.01), while proposed: div(log(A),2)=0 because protected log(0.0001)=0. Consequently the outer cos(cos(...)) terms differ by about 0.454, well beyond tolerance.",true,per_model/gpt-5.6-sol/tasks/review_000730.json
review_000753,pred_simplify::gplearn::g0003::s522::clean,clean,gplearn,Korns-2,522,simplified,false,protected_operator_semantics,fail,true,true,false,simpler,1.0,"Combining multiple protected divisions into one changes values when |x5| <= 0.001. In that region, each original protected division independently returns 1, whereas the proposed expression has only one protected division returning 1. They agree for |x5| > 0.001 but not throughout the common domain.","At x2=0, x4=0, x5=0, the original evaluates to 6.069926927559544, while the proposed simplification evaluates to 1.234.",true,per_model/gpt-5.6-sol/tasks/review_000753.json
review_000764,pred_simplify::gplearn::g0014::s522::clean,clean,gplearn,II.11.27_1_0,522,simplified,false,protected_operator_semantics,fail,true,true,false,simpler,0.999,"The algebraic rewrite is invalid under gplearn's protected division. When |Pol|<=0.001, the original subexpression div(0.13,Pol) returns 1, so clearing Pol from the nested denominator changes values on the common real-valued domain.","Pol=0.0005, n=1, epsilon=0, Ef=1. Under protected semantics, the original is approximately 0.0597510, while the proposed expression is approximately 0.000179354.",true,per_model/gpt-5.6-sol/tasks/review_000764.json
review_000767,pred_simplify::gplearn::g0017::s522::clean,clean,gplearn,III.21.20_3_0,522,simplified,false,protected_operator_semantics,fail,false,true,false,simpler,0.99,"The simplification incorrectly extracts sign-sensitive factors from protected square roots. With protected sqrt(a)=sqrt(abs(a)), the original outer square root removes the sign caused by j, whereas the proposed A_vec/j factor retains it. Fractional powers also contract the real-valued domain, though domain differences alone are not the failure.","On the common domain, take j=-1, rho_c_0=1, q=1, A_vec=1. The shared nested denominator is approximately 4.145, while the original evaluates to approximately +0.2413 and the proposed expression to approximately -0.2413.",true,per_model/gpt-5.6-sol/tasks/review_000767.json
review_000776,pred_simplify::gplearn::g0026::s522::clean,clean,gplearn,feynman_I_27_6,522,simplified,false,protected_operator_semantics,fail,true,true,false,more_complex,1.0,"The algebraic rewrite is invalid under gplearn's protected division and also adds an operation. When d1=0, d2=1, and n=1, the original inner division returns 1, so the original value is 1/(1+1)=0.5; the proposed expression evaluates to 0/1=0.","d1=0, d2=1, n=1: original=0.5, proposed=0",true,per_model/gpt-5.6-sol/tasks/review_000776.json
review_000777,pred_simplify::gplearn::g0027::s522::clean,clean,gplearn,feynman_test_15,522,simplified,false,protected_operator_semantics,fail,true,true,false,simpler,1.0,"The algebraic rearrangement is invalid under gplearn protected division. When c is near zero, each protected division returns 1 independently, so moving factors across and combining divisions changes values.","Set c=0, omega=0, theta=pi/2, and v=0. Every division by c or c**2 returns 1. The original evaluates to 0 because its outer factor cos(theta)=0, while the proposed expression evaluates to -2.",true,per_model/gpt-5.6-sol/tasks/review_000777.json
review_000855,pred_simplify::imcts::g0005::s521::clean::v2,clean,imcts,BPG3,521,simplified,false,equivalent_but_more_complex,pass,false,true,true,more_complex,0.98,"Multiplying numerator and denominator by P preserves values wherever both expressions are real-valued. The proposed form expands the domain to P=0, but that alone does not affect equivalence on the common domain. However, it introduces an additional multiplication/operator occurrence and is structurally more complex, so it does not satisfy the simplicity requirement.",,false,per_model/gpt-5.6-sol/tasks/review_000855.json
review_000905,pred_simplify::imcts::g0005::s522::clean::v2,clean,imcts,BPG3,522,simplified,false,equivalent_but_more_complex,pass,false,true,true,more_complex,0.98,"Multiplying numerator and denominator by P gives the proposed expression, so values agree on the common domain P != 0 and 0.13668304033006595*P + 4.104887307583914 != 0. The proposed expression additionally permits P=0, so the domain is expanded. It also increases the basic operation count by replacing the inner division with two multiplications, making it more complex; therefore it does not qualify as a passing simplification.",,false,per_model/gpt-5.6-sol/tasks/review_000905.json
review_000950,pred_simplify::imcts::g0050::s522::clean,clean,imcts,Vladislavleva-4,522,simplified,false,extreme_scale_decimal_amplification,fail,false,true,false,simpler,0.99,"The repeated denominator would factor as (x2 - 26.17108295984481) times the cosine sum only if 155.6172914296232 exactly equaled 26.17108295984481*5.946154068916144. The decimal constants leave a nonzero residual. Although tiny, it causes arbitrarily large value differences near x2=26.17108295984481 on the common domain. The domains also differ at and near the resulting singular sets.","Take x2=26.17108295984482, x3=x5=1.5707963267948966, x1=7.7303225354777406, and x4=1.4364693687245928. Both expressions are real and defined, but the nonzero constant-product residual is comparable to or larger than (x2-26.17108295984481) times the cosine sum, producing a large value mismatch.",false,per_model/gpt-5.6-sol/tasks/review_000950.json
review_001103,pred_simplify::llmsr::g0003::s520::clean,clean,llmsr,Korns-2,520,simplified,false,equivalent_but_more_complex,pass,true,true,true,more_complex,0.99,"The proposed expression correctly distributes the grouped terms and combines the x3^2 coefficient: 0.007251133570662182 - 0.000020346236900302385 = 0.0072307873337618796. It preserves variables, operator values, and the tan(x5) domain. However, expanding shared coefficients and grouped sums increases expression complexity, so it does not qualify as a passing simplification.",,false,per_model/gpt-5.6-sol/tasks/review_001103.json
review_001426,pred_simplify::pysr::g0026::s520::clean,clean,pysr,feynman_I_27_6,520,simplified,false,equivalent_but_more_complex,pass,false,true,true,more_complex,0.99,"On the common domain, multiplying numerator and denominator by d1 gives d1*d2/(d1*n+d2), so values agree. The proposed form additionally permits some d1=0 inputs, so the domain is not preserved. It also uses more operations/symbol occurrences than the original, so it does not qualify as a passing simplification.",,false,per_model/gpt-5.6-sol/tasks/review_001426.json
review_001455,pred_simplify::pysr::g0005::s521::clean,clean,pysr,BPG3,521,simplified,false,equivalent_but_more_complex,pass,true,true,true,more_complex,0.99,"The proposed polynomial is the exact expansion of the original expression for all real t, with the same constants and variable mapping. However, it introduces explicit powers and repeats t, making it more complex rather than simpler, so it does not satisfy the pass contract.",,false,per_model/gpt-5.6-sol/tasks/review_001455.json
review_001476,pred_simplify::pysr::g0026::s521::clean,clean,pysr,feynman_I_27_6,521,simplified,false,equivalent_but_more_complex,pass,false,true,true,more_complex,0.99,"Multiplying numerator and denominator by d1 gives the proposed expression, so values agree wherever the original is real-valued. The proposed domain is larger because it can be defined at d1=0 when d2!=0, while the original cannot. However, the proposal uses more arithmetic operations, so it does not satisfy the requirement that a passing simplification be same complexity or simpler.",,false,per_model/gpt-5.6-sol/tasks/review_001476.json
review_001755,pred_simplify::ragsr::g0005::s521::clean,clean,ragsr,BPG3,521,simplified,false,equivalent_but_more_complex,pass,true,true,true,more_complex,0.99,"The expressions agree for all real P and t: P/sqrt(1+a/(P^2+1)) equals P*sqrt(P^2+1)/sqrt(P^2+1+a) because P^2+1 is positive, and (c-P)^4=(P-c)^4. Their real domains and variable mapping are unchanged. However, the proposed form duplicates the square-root/polynomial structure and is syntactically more complex, so it does not satisfy the pass contract.",,false,per_model/gpt-5.6-sol/tasks/review_001755.json
review_002030,pred_simplify::tpsr::g0030::s520::clean,clean,tpsr,strogatz_predprey2,520,simplified,false,extreme_scale_decimal_amplification,fail,true,true,true,more_complex,0.99,"The expansion would be algebraically valid if 0.030000000000000002 were exactly 0.03, but the fixed literal difference is amplified on the unbounded real domain. The expanded form is also more operation-heavy than the factored original.","At x=1e18 and y=3, the proposed arctan argument is exactly 0, so its value is -2. The original argument is approximately 179.67 because 0.030000000000000002-0.01*3=2e-18, giving an output approximately 1.7565; the difference greatly exceeds tolerance.",false,per_model/gpt-5.6-sol/tasks/review_002030.json
review_002061,pred_simplify::tpsr::g0011::s521::clean,clean,tpsr,CRK33,521,simplified,false,extreme_scale_decimal_amplification,fail,true,true,true,simpler,0.99,"Both expressions are real for all real A,t and the proposed form is structurally simpler, but its rounded normalized linear coefficients are not exactly proportional to the original factor. The resulting error can be amplified without bound, so values disagree on the common domain.","Take t=10000000000 and A=(1.502-1.06*t)/3.031. Then the original factor 1.06*t+3.031*A-1.502 is exactly 0, giving an original value near -0.0004. In the proposed expression, A+0.349719564500165*t-0.495546024414385 is about 3.8e-7; multiplied by the other factor it is about -66.5, so the proposed value is about 66.5.",false,per_model/gpt-5.6-sol/tasks/review_002061.json
review_002063,pred_simplify::tpsr::g0013::s521::clean,clean,tpsr,I.11.19_4_0,521,simplified,false,equivalent_but_more_complex,pass,true,true,true,more_complex,0.99,"Let d=3.6*x2+9.3 and B=(A+2.9)*(0.7000000000000001*x3+9.0)*(0.6*y3+7.0)-(0.8*x1+2.0)*(7.8*y1+19.7). The original is (-0.003-0.7/d)*B=((0.003*d+0.7)/d)*(-B), and 0.003*d+0.7=0.0108*x2+0.7279, matching the proposal on the shared domain d!=0. Variables, division semantics, and domain are preserved. However, the proposed form adds an arithmetic operation rather than reducing complexity, so it does not satisfy the pass contract.",,false,per_model/gpt-5.6-sol/tasks/review_002063.json
review_002453,pred_simplify::dso::g0003::s520::noise001,noise001,dso,Korns-2,520,simplified,false,equivalent_but_more_complex,pass,false,true,true,more_complex,0.99,"Multiplying numerator and denominator by 3*x5 gives the proposed expression, so values agree wherever both are real and defined. The proposed domain additionally includes x5=0, so the domain is not preserved, though this alone does not affect equivalence. However, the proposed form has more operator structure than the original and therefore does not qualify as a passing simplification.",,false,per_model/gpt-5.6-sol/tasks/review_002453.json
review_002465,pred_simplify::dso::g0015::s520::noise001,noise001,dso,II.34.2_1_0,520,simplified,false,equivalent_but_more_complex,pass,false,true,true,more_complex,0.99,"On the common domain, q + sin(r)/mom = (mom*q + sin(r))/mom, so the expressions are algebraically equal. The proposed form expands the domain to some mom=0 inputs, but domain-only differences do not defeat equivalence. However, it introduces an additional multiplication and is more complex, so it does not qualify as a passing simplification.",,false,per_model/gpt-5.6-sol/tasks/review_002465.json
review_002476,pred_simplify::dso::g0026::s520::noise001::v2,noise001,dso,feynman_I_27_6,520,simplified,false,equivalent_but_more_complex,pass,false,true,true,more_complex,0.99,"On the common domain, multiplying numerator and denominator by d1 gives the proposed expression exactly. The proposed expression expands the domain by allowing some d1=0 cases, but domain-only differences do not defeat equivalence. However, it uses more arithmetic operations than the original, so it does not satisfy the simplicity requirement.",,false,per_model/gpt-5.6-sol/tasks/review_002476.json
review_002526,pred_simplify::dso::g0026::s521::noise001,noise001,dso,feynman_I_27_6,521,simplified,false,equivalent_but_more_complex,pass,false,true,true,more_complex,0.99,"On the common real-valued domain, multiplying numerator and denominator by d1 gives the proposed expression exactly. However, the proposed form expands the domain to some points with d1=0 and uses more arithmetic operations than the original, so it does not satisfy the simplicity requirement for a passing simplification.",,false,per_model/gpt-5.6-sol/tasks/review_002526.json
review_002563,pred_simplify::dso::g0013::s522::noise001,noise001,dso,I.11.19_4_0,522,simplified,false,equivalent_but_more_complex,pass,true,true,true,more_complex,0.99,"Expanding the nested fraction gives exactly 1 - 1/(x1*y3) + 2/(x1*x3) + 1/(x1*x3**2), so values agree on the common domain x1*x2*x3*y3 != 0. However, the proposed expanded form has more arithmetic operations and is not a same-or-simpler expression.",,false,per_model/gpt-5.6-sol/tasks/review_002563.json
review_002636,pred_simplify::e2esr::g0036::s520::noise001,noise001,e2esr,feynman-iii.7.38,520,simplified,false,equivalent_but_more_complex,pass,true,true,true,more_complex,0.99,"The expanded inner factor is algebraically equivalent: (0.2-7.8*x1)*(-9.9*x0-0.1)+cos(99*x1)-0.1 expands to 77.22*x0*x1-1.98*x0+0.78*x1+cos(99*x1)-0.12. The real domain, variables, and operator values are preserved. However, the expanded form requires more arithmetic operations, so it does not satisfy the simplicity requirement.",,false,per_model/gpt-5.6-sol/tasks/review_002636.json
review_002663,pred_simplify::e2esr::g0013::s521::noise001,noise001,e2esr,I.11.19_4_0,521,simplified,false,equivalent_but_more_complex,pass,true,true,true,more_complex,0.99,"The prefactor is algebraically equivalent: 0.02 - 0.9/(x2 + 2.7) = 0.02*(x2 - 42.3)/(x2 + 2.7), with the same domain x2 != -2.7. Variables and operator values are preserved. However, the proposed form introduces an additional arithmetic operation overall, so it is more complex and does not satisfy the pass contract.",,false,per_model/gpt-5.6-sol/tasks/review_002663.json
review_002664,pred_simplify::e2esr::g0014::s521::noise001,noise001,e2esr,II.11.27_1_0,521,simplified,false,extreme_scale_decimal_amplification,fail,true,true,true,simpler,0.98,"The algebra would be exact if 0.030000000000000002 were exactly half of 0.060000000000000005, but with the fixed decimal literals it is not: their difference is 5e-19 before division. This residual can be amplified without bound by Pol, so the expressions do not agree within tolerance everywhere on their common domain.","Take n=-1.3, Ef=-0.01, epsilon=asin(-2/3)/9.9, and Pol=1e20. The proposed product coefficient is zero, while the original coefficient is 1e-18; the common bracket is approximately 4e21, producing an output difference of approximately 4000, far beyond tolerance.",false,per_model/gpt-5.6-sol/tasks/review_002664.json
review_002689,pred_simplify::e2esr::g0039::s521::noise001,noise001,e2esr,feynman-ii.34.11,521,simplified,false,equivalent_but_more_complex,pass,true,true,true,more_complex,0.99,"The identity -1 - 0.01/d = -(d + 0.01)/d with d = 0.0046*x5 + 0.005 makes the squared factors equal, and both expressions have the same real domain d != 0. However, the proposal duplicates d and introduces separate numerator and denominator squares, so it is more complex and does not qualify as a passing simplification.",,false,per_model/gpt-5.6-sol/tasks/review_002689.json
review_002698,pred_simplify::e2esr::g0048::s521::noise001,noise001,e2esr,feynman-i.11.19,521,simplified,false,equivalent_but_more_complex,pass,true,true,true,more_complex,0.99,"The proposed expression is algebraically equivalent on the all-real domain and preserves every variable mapping and operator value. However, distributing the nested product introduces an additional multiplication overall, so the proposal is more complex and does not satisfy the pass contract.",,false,per_model/gpt-5.6-sol/tasks/review_002698.json
review_002902,pred_simplify::gplearn::g0002::s520::noise001,noise001,gplearn,Keijzer-2,520,simplified,false,protected_operator_semantics,fail,true,true,false,simpler,0.99,"The logarithm product identity is invalid under gplearn's protected log semantics. When one factor is near zero, its protected log becomes 0, so the sum of protected logs need not equal the protected log of the product.","Let x1 = pi/(2*1.24223602484472) ≈ 1.26449, so cos(1.24223602484472*x1)=0. The original is 0.244*log(log(x1)) ≈ -0.354, while the proposed expression is 0.244*log(log(0)) = 0 under protected-log semantics.",true,per_model/gpt-5.6-sol/tasks/review_002902.json
review_002914,pred_simplify::gplearn::g0014::s520::noise001,noise001,gplearn,II.11.27_1_0,520,simplified,false,protected_operator_semantics,fail,true,true,false,simpler,0.99,"The algebraic fraction rewrite is valid for ordinary division but not for gplearn protected division. When epsilon is small, the original division by epsilon**2 can return the protected fallback value 1, whereas the proposed combined fraction does not, changing the result on the common domain.","Pol=1, epsilon=0.0001, Ef=1, n=100. With protected division, the original is approximately 51.5025748, while the proposed expression is approximately 51.5000000; the difference exceeds tolerance.",true,per_model/gpt-5.6-sol/tasks/review_002914.json
review_002915,pred_simplify::gplearn::g0015::s520::noise001,noise001,gplearn,II.34.2_1_0,520,simplified,false,protected_operator_semantics,fail,true,true,false,simpler,0.99,"The rewrite does not preserve gplearn protected-log/division values. In particular, log(log(sqrt(q))) is not equivalent to log(log(q)/2) near the protected-log threshold. Consolidating nested protected divisions into a single rational expression can also change values.","At mom=0, q=0.0001, r=0, all other rewritten components agree, but original log(log(sqrt(q))) = log(|log(0.01)|) = log(4.605170185988091) ≈ 1.52718, while proposed log(log(q)/2) = log(0) = 0 under protected log semantics. Thus the full expressions differ by approximately 1.52718 on their common real-valued domain.",true,per_model/gpt-5.6-sol/tasks/review_002915.json
review_002924,pred_simplify::gplearn::g0024::s520::noise001,noise001,gplearn,feynman_II_15_4,520,simplified,false,protected_operator_semantics,fail,true,true,false,same,0.99,"The protected-log threshold makes log(mom**2) unequal to 2*log(mom) when 0.001 < |mom| <= sqrt(0.001). Thus the rewrite changes values on the common real-valued domain, although variable mapping and domain are unchanged.","mom=0.01, B=100, theta=1. Protected log(mom**2)=log(0.0001)=0, while 2*protected_log(mom)=2*log(0.01)≈-9.210340372; the resulting full-expression values differ by approximately 0.299.",true,per_model/gpt-5.6-sol/tasks/review_002924.json
review_002926,pred_simplify::gplearn::g0026::s520::noise001,noise001,gplearn,feynman_I_27_6,520,simplified,false,protected_operator_semantics,fail,true,true,false,simpler,0.99,"The rewrite is valid for ordinary division but not for gplearn protected division. When abs(n)<=0.001, each div(d2,n) in the original returns 1, leaving a factor dependent on log(d1), whereas the proposed outer division returns 1 and removes that dependence.","Let d1=exp(16), d2=1, n=0. Then protected log(d1)=16 and div(d2,n)=1. The original equals 2*sin(sin(1)), while the proposed expression equals sin(sin(1)); both are real and unequal.",true,per_model/gpt-5.6-sol/tasks/review_002926.json
review_002927,pred_simplify::gplearn::g0027::s520::noise001,noise001,gplearn,feynman_test_15,520,simplified,false,protected_operator_semantics,fail,true,true,false,simpler,1.0,"The algebra agrees when the denominator magnitude exceeds 0.001, but moving factors across gplearn's protected division changes its fallback value when the denominator is near zero. Thus values differ on the common real-valued domain.","Let theta=0, c=-0.894, v=2, omega=3. Then both denominators are 0. The original protected program gives 2*cos(0)*1+3=5, while the proposal's protected division gives 3*(1-1)=0.",true,per_model/gpt-5.6-sol/tasks/review_002927.json
review_002940,pred_simplify::gplearn::g0040::s520::noise001,noise001,gplearn,feynman-i.29.16,520,simplified,false,protected_operator_semantics,fail,true,true,false,simpler,0.99,"The rewrite is not value-preserving under gplearn's protected division. It replaces forms such as x1/sqrt(x1*(x0+1)) with sqrt(x1/(x0+1)); protected-division thresholding occurs at different intermediate values, producing substantially different results on the common domain.","At x0=1 and x1=0.0001, the original first ratio is approximately 0.007071 because its denominator exceeds 0.001, while the proposed inner division 0.0001/2 is protected to 1, making the corresponding angle 1. The complete original value is approximately 1.000025, whereas the proposed value is approximately 0.3601.",true,per_model/gpt-5.6-sol/tasks/review_002940.json
review_002953,pred_simplify::gplearn::g0003::s521::noise001,noise001,gplearn,Korns-2,521,simplified,false,protected_operator_semantics,fail,true,true,false,simpler,0.99,"The simplification combines several protected divisions by x5 and replaces the protected composition (x5/x2)/x5 with 1/x2. These algebraic steps are invalid when a protected denominator has absolute value at most 0.001. Although the variables and real-valued domain are unchanged, values differ on that domain.","At x2=1, x4=1, x5=0, every original protected division by x5 returns 1 separately. Using the authoritative native program, the original is approximately 9.07704, while the proposed expression is approximately 2.07704.",true,per_model/gpt-5.6-sol/tasks/review_002953.json
review_002964,pred_simplify::gplearn::g0014::s521::noise001,noise001,gplearn,II.11.27_1_0,521,simplified,false,protected_operator_semantics,fail,true,true,false,simpler,0.99,"The rewrite assumes sqrt(log(sqrt(Ef))) = sqrt(log(Ef))*sqrt(2)/2, but this fails under gplearn's protected-log threshold. For 1e-6 < abs(Ef) <= 0.001, log(Ef) returns 0 while log(sqrt(Ef)) need not return 0, producing different values on the common domain.","Pol=1, epsilon=1, Ef=0.0001, n=10000. The protected denominator is 1. The original is approximately 1.100, because log(Ef)=0 but log(sqrt(Ef))=log(0.01), whereas the proposed expression is 0.",true,per_model/gpt-5.6-sol/tasks/review_002964.json
review_002977,pred_simplify::gplearn::g0027::s521::noise001,noise001,gplearn,feynman_test_15,521,simplified,false,protected_operator_semantics,fail,true,true,false,simpler,1.0,"The factorization is invalid under gplearn protected division. At c=0, v=1, omega=1, theta=0, protected divisions with zero denominators return 1, causing different values.","c=0, v=1, omega=1, theta=0: original=-2, proposed=1.",true,per_model/gpt-5.6-sol/tasks/review_002977.json
review_002999,pred_simplify::gplearn::g0049::s521::noise001,noise001,gplearn,feynman-ii.34.2a,521,simplified,false,protected_operator_semantics,fail,true,true,false,simpler,1.0,"The rewrite log(sqrt(x3)) -> log(x3)/2 is invalid under gplearn protected semantics. The original protected log becomes nonzero when |x3|>1e-6, while the proposed protected log remains zero until |x3|>0.001, causing value differences on the common domain.","At x0=1 and x3=0.0001, both expressions are real-valued, but the original is approximately 0.7084 while the proposed expression is approximately 0.8736.",true,per_model/gpt-5.6-sol/tasks/review_002999.json
