sample_id,condition,algorithm,dataset_id,seed,outcome,review_applicable,status,verdict,attempt_count,record_path,record_sha256
review_000024,clean,ground_truth,Vladislavleva-4,,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000024.json,203c1e85489c5e89e3486a1a9302c2640be15e147b2c9406fcccb0572773c14c
review_000025,clean,ground_truth,feynman-bonus.20,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000025.json,e02c0bf333cf0f8d1c25da80167ec88b525f33aebccb5752405754cd27782424
review_000026,clean,ground_truth,feynman-i.11.19,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000026.json,e06aaec05e0596eacd586683ebc411d807ff153faf65e62ac16e072dced4b456
review_000027,clean,ground_truth,feynman-i.13.12,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000027.json,cd7bbc08e74421fb09704c1b5509cc4967e1b1a3a427ffc0395da9d2b59eea2c
review_000028,clean,ground_truth,feynman-i.15.3t,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000028.json,d33794787fb74207b86395f03592ed1323f4e7ffe661693881a08db6a6b5e63b
review_000029,clean,ground_truth,feynman-i.18.16,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000029.json,baf31c85aec8e5c07be5fff6deeaf9baaa678b84796c0a0b83a3946b6dcdd90c
review_000030,clean,ground_truth,feynman-i.29.16,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000030.json,74a018b1f635d573aad84c26aed8d32efb37b516a4c2d0d1bbca400648ce53c4
review_000031,clean,ground_truth,feynman-i.32.5,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000031.json,ee0cdcf4caa11de4727691370672fb665bedf4b41c026448b9f4668106ee8f0a
review_000032,clean,ground_truth,feynman-i.39.22,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000032.json,de49360e5cadb3954ca17f7c690b69cfe4958f12597dba6965d23065e4bb0440
review_000033,clean,ground_truth,feynman-i.43.31,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000033.json,7e0961615c58e25f9c9466b1fff6110a1be6dba0b669a78d8594719481b06747
review_000034,clean,ground_truth,feynman-ii.27.18,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000034.json,a4d39c2958b8d1ddd3e9bd089ed812b5a9a0a20daee772f1fa6d05fc1ed39bad
review_000035,clean,ground_truth,feynman-ii.34.11,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000035.json,c397b12cefc538400595ab7684ec7acc992865da2e58a81c7ffdd3694658fd35
review_000036,clean,ground_truth,feynman-ii.34.2a,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000036.json,ac82c31bdda939085c4c2bb3d13f4089097fb0705ca81e8a2abb6f0fce266f56
review_000037,clean,ground_truth,feynman-ii.4.23,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000037.json,585d71deb7e3fbc6df005be74553f3faf81a9cf3e05494f133da82652130b694
review_000038,clean,ground_truth,feynman-iii.10.19,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000038.json,bac9a3c6e1770e2cfdd834ebe51e73258ae4c86a952db23586d7236d6b061e79
review_000039,clean,ground_truth,feynman-iii.7.38,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000039.json,d86d3a5d7b70c2a446f0a9ad0b2068d15a71d4dfe7fe5d1bac1d5a19aba91d35
review_000040,clean,ground_truth,feynman_II_15_4,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000040.json,66e063f70be89e9af7a623d95e65f678c395e45b0724328f6989973009c9560c
review_000041,clean,ground_truth,feynman_I_12_11,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000041.json,cdfb8078956a794c54a06c84b14cc60d57852e28ba207bfb58d060cadd732064
review_000042,clean,ground_truth,feynman_I_27_6,,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000042.json,af2c8d1ed283b567a7d4346773a6b40968becdd3c37ef48f25818eb4bd06daf3
review_000043,clean,ground_truth,feynman_test_15,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000043.json,059c8fe730cc4adb3b3c794a1cee4058affb03492aabad1cbf5725b79c95b43a
review_000044,clean,ground_truth,first_principles_hubble,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000044.json,1ef03ad38f9f1db4e9d1cffb58ecc37497237fc7d39704a9f84c8fc608829223
review_000045,clean,ground_truth,first_principles_leavitt,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000045.json,61d652255146528bf7d8caf11c07f8eb80048323bc5fcfad1791f61da0feed55
review_000046,clean,ground_truth,strogatz_barmag1,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000046.json,6bbc4d4914311a789b0841cdf94b4b30bfb8b9b4066b1234f135c48702033427
review_000047,clean,ground_truth,strogatz_barmag2,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000047.json,4eb7e9eb3344881fd402337f5d667890c2215c727f5628728353365a4829312c
review_000048,clean,ground_truth,strogatz_predprey2,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000048.json,e7761e558431c4c2e97cab0ebc0b3cf9e14c8287102176cd303b4f837a2e6817
review_000049,clean,ground_truth,strogatz_shearflow1,,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000049.json,d73db65e49b667d67e14fb91e035be755f63a60e9f5573f5d8a237a4cf241d86
review_000050,clean,ground_truth,strogatz_vdp1,,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000050.json,c1ef2fa4648cc6024185fd928aa68165a563cbb8518b50d5a7b79b62009188a5
review_000051,clean,drsr,Keijzer-11,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000051.json,ed82de7c54e76241e0c0d83c9ef46e3fcc700df4c1b718843368852f730272ec
review_000052,clean,drsr,Keijzer-2,520,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000052.json,f93bf0998e2738a5f967bd4c5fc6310537a11de9fb1de22ff05a0f3c320f8ace
review_000053,clean,drsr,Korns-2,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000053.json,ca5d3608be48b129ff487b001039fe9e8573a504a6f23d546ab5cb7537cdfdc5
review_000054,clean,drsr,Korns-4,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000054.json,4997393fef45130bec35f9332e3eec6b1f52ff32a80b2fbeb78d94170333c4fa
review_000055,clean,drsr,BPG3,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000055.json,dfbcc4712b31a772cba0f6f6b98c5b101c3eeafe16bf6371d417d6192691b7ee
review_000056,clean,drsr,BPG5,520,unable,False,non_applicable,,0,,
review_000057,clean,drsr,BPG9,520,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000057.json,5eae4c48ce37331f8d5e284cc206479743d533dbbcf4c126dad83773bc626d26
review_000058,clean,drsr,CRK0,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000058.json,fa086b14e0a5a764fec3c7ad817cec45e79b0cc248615d2e542bb5bd3d776349
review_000059,clean,drsr,CRK10,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000059.json,08d083882ffe99467eee56051821c149652ce03e76abde8fb1994988b0852c12
review_000060,clean,drsr,CRK11,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000060.json,8293503f4c5345311a3570e71a694c7bae204731ffa536dfb142a9f4fd80b398
review_000061,clean,drsr,CRK33,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000061.json,e217f6a4f82faf9f6c47f65f04b3db22695bcf9d17fa6fbc8cd1cd0bb6faaeca
review_000062,clean,drsr,CRK34,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000062.json,fa84557091bc979f2978472368d64ee140b7908fad2a2ebf1ee34925f1cf180a
review_000063,clean,drsr,I.11.19_4_0,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000063.json,163da9bfdac816318546fc43994f424568455e63f34508d6bcd7a5adcdb31560
review_000064,clean,drsr,II.11.27_1_0,520,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000064.json,6be03590eaedb4b579beb23a3427e00e6df25094135d33daaf3fa1bd6c2bec22
review_000065,clean,drsr,II.34.2_1_0,520,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000065.json,f0b8911e31068c9f23dfb6adb25705e934a6843b57404b6aefe5927f94053d4a
review_000066,clean,drsr,II.6.15b_3_0,520,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000066.json,2191b5bbb1b44e3fee2fa2e57e11676ad0571eae0853e8f080bc476c2fd92695
review_000067,clean,drsr,III.21.20_3_0,520,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000067.json,b854542ac75ed214cd20ddd9ea2bb36609a1285b309cf19eb054e2c0b78d1192
review_000068,clean,drsr,MatSci21,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000068.json,8bf09781b0867d1f9751a2cb9756b66b05833e30e5b6681634ef88c19078d357
review_000069,clean,drsr,PO19,520,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000069.json,cf5ce0dda6ffed8d0ef51f62e8d2a0720273a98b4a32031df3f212456cf1cb3a
review_000070,clean,drsr,PO41,520,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000070.json,e022b15a47f74ed314556b81cad053bcae9d9d5ff4340e0bdecd18d1609f9b43
review_000071,clean,drsr,Nguyen-12,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000071.json,dfc3c7440f81136888a13ecab9145e8ebff22f60e401091dba42242909bc0cb1
review_000072,clean,drsr,Nguyen-6,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000072.json,d1cf98d45095550c7d63e6d3ca7a34fa7da2345c739a39849711cc50ee4dbc89
review_000073,clean,drsr,Nguyen-9,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000073.json,ef4330e433cdce82006cc151a8baffe9fb9dfb44d67bbca07aba8d33f6f4d38f
review_000074,clean,drsr,feynman_II_15_4,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000074.json,da72a09990475441f24c9a72fb1c8e45cc174f79eab9a942340be39bcda179ec
review_000075,clean,drsr,feynman_I_12_11,520,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000075.json,2055c6bdf66fe0b9212ea96363a810d494968fc5562b6660502f7f9ab335f44a
review_000076,clean,drsr,feynman_I_27_6,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000076.json,c5c691c95abc62fe2546c89c771ee8d730643164a248d4ac0f6ce43ea6e70f4e
review_000077,clean,drsr,feynman_test_15,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000077.json,7962b3127a275078f8ba3ca9aa8a3213f50aa98b08e42acf1292ab42aff93beb
review_000078,clean,drsr,strogatz_barmag1,520,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000078.json,e8d242ead7710e2bb59035a770f2abfca5f1ce30abfe118817a0268d8f29a284
review_000079,clean,drsr,strogatz_barmag2,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000079.json,44ab2634188c6c9ddbb7e1ad8f44799952f94902e0e68b9c84650edb8418fcde
review_000080,clean,drsr,strogatz_predprey2,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000080.json,31b1471aeb46337c3f0f26eda811c9023c03c238172dae45bdc29427112885ed
review_000081,clean,drsr,strogatz_shearflow1,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000081.json,cf5cb7330a9fd5cb1facb97608d641c409670d86abd46ade466f960e98f973b8
review_000082,clean,drsr,strogatz_vdp1,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000082.json,1ca62336a993898ad33bacde61cae189cf3c9b7d41b17c83b668531e189b7b05
review_000083,clean,drsr,first_principles_hubble,520,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000083.json,a38986701a41cab744c4300cd98eea00fa1cd77f52883e40ff36d3226173e359
review_000084,clean,drsr,first_principles_leavitt,520,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000084.json,893850e9c8c4965bfdc65dbc8c69b3491ce549b4b5a83782512dde2931eea2fb
review_000085,clean,drsr,feynman-ii.4.23,520,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000085.json,a4e050f1d886438da56996ffd0e4b6322034e78eb034f2049ded4d86b77aa91d
review_000086,clean,drsr,feynman-iii.7.38,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000086.json,e51361f69fa36e46d596c0ad21ba4d748300dd02ecca1d3c1affa870404d3349
review_000087,clean,drsr,feynman-i.18.16,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000087.json,dfba1d1cabf181b5fd1988d8baba7d9c069c9b655e28eb1bc82c06577fec1e94
review_000088,clean,drsr,feynman-ii.27.18,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000088.json,7acac25109fb07f87e228a29f4f306151b4b259a04a411e197d91172d237ee42
review_000089,clean,drsr,feynman-ii.34.11,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000089.json,7daa85830a85154b667ea0cef45976be353511d5460c79454250097d4879871c
review_000090,clean,drsr,feynman-i.29.16,520,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000090.json,ed4c0ac7dbd6e1b845470e75fb96b757b7334c42ae45bba8b2d0ded8b0fee00a
review_000091,clean,drsr,feynman-bonus.20,520,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000091.json,2eee4b350c9a566a00b065f5e5c333ac6b21579df739f81a4b6f133d5736666b
review_000092,clean,drsr,feynman-i.15.3t,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000092.json,5c649a77b476f3f2b80b9780d4e8de37b90dce98e226eaa86342b7b83efe8415
review_000093,clean,drsr,feynman-i.39.22,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000093.json,22050b35b286532b84f5e728f28f0683cc361e967efec92f2c5c17c2d194444c
review_000094,clean,drsr,feynman-iii.10.19,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000094.json,288c25f4fb67d8f5fcf906be3366c4431566db3ebb15e7da29c2d8d1f66d975e
review_000095,clean,drsr,feynman-i.13.12,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000095.json,c295708a0251fdecf4d701bec822250c7ea80bd5b8ada8eb82292afbae50d741
review_000096,clean,drsr,feynman-i.32.5,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000096.json,8b1b143df83062e27c6779b5b344119f852653e4057fe6979a1de43ce682d61b
review_000097,clean,drsr,feynman-i.43.31,520,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000097.json,644bae43c80be4f0b269566a0809e6c1f935b44d9997256e2e03e650e420f09b
review_000098,clean,drsr,feynman-i.11.19,520,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000098.json,650adce8faec1fc0b6fd0142559df48b2d86fd5169078afcfe179235cc88db1c
review_000099,clean,drsr,feynman-ii.34.2a,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000099.json,f760f9cbd8962e554583e4fbc706543e1c5eac7a8740f43dc5ed7138bc88c59c
review_000100,clean,drsr,Vladislavleva-4,520,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000100.json,35c5c5af2454d8c253d6ba3b1505139915725fd2bdf7136842a63abd18ff0b53
review_000101,clean,drsr,Keijzer-11,521,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000101.json,d649a55d0fe60d4688b1f3cee639608895311c9a43dd7ba53568f83783154127
review_000102,clean,drsr,Keijzer-2,521,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000102.json,e15bdb80c0ad02b9d431ac6d20f98d725379a976d3e1bc46e23f944aa180a35d
review_000103,clean,drsr,Korns-2,521,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000103.json,a49d5ce5eb3facea3306133a27fa398bc4297c6fa6bf4f18105d073f0d21f26b
review_000104,clean,drsr,Korns-4,521,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000104.json,65152bb3ffcbf2c796203172bf946e0341726af3bae4275c574b8b875e9ce110
review_000105,clean,drsr,BPG3,521,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000105.json,e5fad634ef9a094532041fc6d756880b732aa6036242cb589149561c4827fd78
review_000106,clean,drsr,BPG5,521,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000106.json,5296d1ffe82eeedebfb76cf67fb55664fbc99e0b70d36c6c9181ae465fa7049b
review_000107,clean,drsr,BPG9,521,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000107.json,5527dca97b59312f168c2ba0abb2647d78d44c04d2bcfcf04cded9a79d70e55f
review_000108,clean,drsr,CRK0,521,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000108.json,bc60955c1224644880133c6b85b934dc40d6ef5bc1f7a63b115dad4877ed006a
review_000109,clean,drsr,CRK10,521,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000109.json,cdc5c77b296ed061f27085300c01d3503e8a6b39198888540b203ae54e1adb16
review_000110,clean,drsr,CRK11,521,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000110.json,64c4f0383201634a4599bbd759c4cd8448dcafa2047b5f87bf07700ca46c9b32
review_000111,clean,drsr,CRK33,521,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000111.json,3df455a6dda397cad3e201f431d010ec63944dabe1b5771e38dd09cf61e95a53
review_000112,clean,drsr,CRK34,521,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000112.json,925321f0e57739d1e1c60841b1f793b69e54c5616e3da1e42be68151eed52bb7
review_000113,clean,drsr,I.11.19_4_0,521,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000113.json,c0401f0bd3185f0e21b6629db716781cc47462dfd45a0be39d1f50ef7de46e9d
review_000114,clean,drsr,II.11.27_1_0,521,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000114.json,86f52615761a594d30572c895a13463ed92d9ccd528f5a36a4c5223d665e5070
review_000115,clean,drsr,II.34.2_1_0,521,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000115.json,5909516bb35381c151eb69bbcc33070ee55c66668d479e607813d508b017d25d
review_000116,clean,drsr,II.6.15b_3_0,521,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000116.json,172608bb23411e4b6732181498e8bafad1eca1e92c31f2e678c9704fc8a7514d
review_000117,clean,drsr,III.21.20_3_0,521,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000117.json,77eee77bb5098ecc0608629ff79f5c54690efb588d77118a2a46b3a4e12b55c8
review_000118,clean,drsr,MatSci21,521,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000118.json,6b83ca728d9b28e556a1727b340a22a3ed1ce9b48aa3dc3d7686d4ab75d29498
review_000119,clean,drsr,PO19,521,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000119.json,c1a890153db0020f3e87ac78c677477b6b6671504148ada2c9eb0a5da1142c79
review_000120,clean,drsr,PO41,521,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000120.json,8250ad281e361dad00998a96df8ff90fc9dfae494ec3bd01f423fa47838b6a24
review_000121,clean,drsr,Nguyen-12,521,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000121.json,303223796819dad8f16f0bfbf28aed8bc1d0f93e58a3c08b1180c4dbeb7a6ea5
review_000122,clean,drsr,Nguyen-6,521,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000122.json,e5458fa576f6d854bb818bdbbc6f5626f9ad3a840e8ea4dcb6e0c7b73c096b27
review_000123,clean,drsr,Nguyen-9,521,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000123.json,787f12eff36eb0950f10efe8397290e73bfc280cb463656006eba1c2cd980253
review_000124,clean,drsr,feynman_II_15_4,521,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000124.json,59498f23db4765308c89801a05e660ae9891187580fd8337b5861f95c43a9d4f
review_000125,clean,drsr,feynman_I_12_11,521,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000125.json,cce90c9990b0603eb19c0b0049e1b4c14fe2b74c689b50585510db208b6df765
review_000126,clean,drsr,feynman_I_27_6,521,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000126.json,ca267a57a50f3d5376ca8bb8be6dc8cdaa2c7affedfe5ae6ae0bc9e7532706ac
review_000127,clean,drsr,feynman_test_15,521,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000127.json,367e74aa4e0b894f243f9bcd456f5151b4fce92ba874bf22665519f7e01f0c21
review_000128,clean,drsr,strogatz_barmag1,521,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000128.json,6a1ec51118e76cdb1074719cbf94182b9c0d149edabdc411443c4369e1aeb58a
review_000129,clean,drsr,strogatz_barmag2,521,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000129.json,db35b34fe4be356d7928a06dfb5cc44e5bb5bd2a43a52934fee580dac2c19ae4
review_000130,clean,drsr,strogatz_predprey2,521,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000130.json,e0538c9d376ec250272f9c3f583b3c3bd53abf80f55aabd12989906c25baae6d
review_000131,clean,drsr,strogatz_shearflow1,521,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000131.json,979aa7fa36f73ac3e873d2a03c582b708a66d826975ad18fabc409b115681f34
